Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Year_Value
ACETAMINOPHEN(J0136),ACETAMINOPHEN,J0136,"INJ, ACETAMINOPHEN (B BRAUN)",2025 (Q1-Q4),423.0,450,5672.55,13.410283688,12.605666667,2025
ACETAMINOPHEN(J0136),ACETAMINOPHEN,J0136,"INJ, ACETAMINOPHEN (B BRAUN)",2026 (Q1),127.0,132,1740.12,13.701732283,13.182727273,2026
COMBOGESIC IV,IBUPROFEN SODIUM,J0138,INJ ACETAMINOPH 10MG/IBU 3MG,2025 (Q1-Q4),404.0,410,9372.27,23.198688119,22.859195122,2025
COMBOGESIC IV,IBUPROFEN SODIUM,J0138,INJ ACETAMINOPH 10MG/IBU 3MG,2026 (Q1),22.0,23,209.95,9.5431818182,9.1282608696,2026
ADENOSINE,ADENOSINE,J0153,ADENOSINE INJ 1MG,2025 (Q1-Q4),6962.0,7029,153416.88,22.036322896,21.826274008,2025
ADENOSINE,ADENOSINE,J0153,ADENOSINE INJ 1MG,2026 (Q1),1400.0,1403,40467.27,28.905192857,28.843385602,2026
ADRENALIN(J0165)*,EPINEPHRINE*,J0165,INJ EPINEPHRINE NOS 0.1 MG,2025 (Q1-Q4),427.0,448,1015.76,2.3788290398,2.2673214286,2025
ADRENALIN(J0165)*,EPINEPHRINE*,J0165,INJ EPINEPHRINE NOS 0.1 MG,2026 (Q1),140.0,152,164.81,1.1772142857,1.0842763158,2026
EPINEPHRINE,EPINEPHRINE,J0166,INJ EPINEPHRINE (BPI),2025 (Q1-Q4),48.0,48,417.15,8.690625,8.690625,2025
EPINEPHRINE,EPINEPHRINE,J0166,INJ EPINEPHRINE (BPI),2026 (Q1),24.0,24,125.51,5.2295833333,5.2295833333,2026
ADRENALIN(J0169),EPINEPHRINE,J0169,INJ EPINEPHRINE (ADRENALIN),2025 (Q1-Q4),340.0,359,4431.72,13.034470588,12.344623955,2025
ADRENALIN(J0169),EPINEPHRINE,J0169,INJ EPINEPHRINE (ADRENALIN),2026 (Q1),179.0,184,1577.72,8.8140782123,8.5745652174,2026
ADRENALIN(J0171)*,EPINEPHRINE*,J0171,ADRENALIN EPINEPHRINE INJECT,2025 (Q1-Q4),1088.0,1211,6417.5,5.8984375,5.2993393889,2025
"INJ, EPINEPHRINE (BELCHER)**",,J0173,"INJ, EPINEPHRINE (BELCHER)",2025 (Q1-Q4),17.0,18,178.0,10.470588235,9.8888888889,2025
LEQEMBI,LECANEMAB-IRMB,J0174,"INJ, LECANEMAB-IRMB, 1 MG",2025 (Q1-Q4),14029.0,185877,194527626.68,13866.107825,1046.5395217,2025
LEQEMBI,LECANEMAB-IRMB,J0174,"INJ, LECANEMAB-IRMB, 1 MG",2026 (Q1),12876.0,52011,54324160.85,4219.0246078,1044.4744544,2026
KISUNLA,DONANEMAB-AZBT,J0175,"INJ, DONANEMAB-AZBT, 2 MG",2025 (Q1-Q4),9993.0,55721,125208054.77,12529.57618,2247.0532612,2025
KISUNLA,DONANEMAB-AZBT,J0175,"INJ, DONANEMAB-AZBT, 2 MG",2026 (Q1),10782.0,25188,60435551.72,5605.2264626,2399.3787407,2026
EYLEA HD,AFLIBERCEPT,J0177,"INJ, AFLIBERCEPT HD, 1 MG",2025 (Q1-Q4),99161.0,379249,1140248051.1,11498.956758,3006.5947467,2025
EYLEA HD,AFLIBERCEPT,J0177,"INJ, AFLIBERCEPT HD, 1 MG",2026 (Q1),88322.0,128412,371317694.12,4204.1359358,2891.6121088,2026
EYLEA,AFLIBERCEPT,J0178,AFLIBERCEPT INJECTION,2025 (Q1-Q4),222280.0,857976,1537858048.5,6918.5623921,1792.4254857,2025
EYLEA,AFLIBERCEPT,J0178,AFLIBERCEPT INJECTION,2026 (Q1),100653.0,144294,249968952.13,2483.4724462,1732.3586021,2026
BEOVU,BROLUCIZUMAB-DBLL,J0179,"INJ, BROLUCIZUMAB-DBLL, 1 MG",2025 (Q1-Q4),1113.0,4504,10213333.7,9176.4004492,2267.6140542,2025
BEOVU,BROLUCIZUMAB-DBLL,J0179,"INJ, BROLUCIZUMAB-DBLL, 1 MG",2026 (Q1),649.0,920,2211100.23,3406.9340986,2403.3698152,2026
FABRAZYME,AGALSIDASE BETA,J0180,AGALSIDASE BETA INJECTION,2025 (Q1-Q4),198.0,3409,63997380.84,323219.09515,18773.065661,2025
FABRAZYME,AGALSIDASE BETA,J0180,AGALSIDASE BETA INJECTION,2026 (Q1),169.0,810,15281663.95,90424.047041,18866.25179,2026
